Category,Product Name,Customer Name,Rating,Review
furniture,"Renwick Faux Leather Barrel Accent Chair for Living Room, Set of 2, Black",Donna,5,"“This chair is both comfortable and compact, making it perfect for my limited space. It accommodates clients of all sizes while they wait to get their nails done.”"
furniture,"Renwick Faux Leather Barrel Accent Chair for Living Room, Set of 2, Black",Carolyn,5,I love this was so easy to assemble on my own and it matches my sectional sofa perfectly. Now to cancel the Angi service previously requested because I no longer need them...
furniture,"Renwick Faux Leather Barrel Accent Chair for Living Room, Set of 2, Black",MICHAEL,4,"The chairs arrived in good condition and are easy to attach legs, They look nice but are on the small side. Works good for children but not for adults. Using in a bedroom with some limited space."
furniture,"Renwick Faux Leather Barrel Accent Chair for Living Room, Set of 2, Black",Jenna,3,"The chairs were cute, affordable and easy to put together but they were very small and kind of uncomfortable, so keep that in mind before purchasing them."
furniture,"Renwick Faux Leather Barrel Accent Chair for Living Room, Set of 2, Black",Murph,2,"Very nice looking piece, but very uncomfortable.   Fortunately for me, it is more to fill a space, than for actual use. Delivered missing a seat cushion.  Manufacturer would not respond, but Walmart customer service was outstanding at solving the problem."
furniture,"Renwick Faux Leather Barrel Accent Chair for Living Room, Set of 2, Black",Gail,2,"The chairs are very uncomfortable. After I put the legs on the chairs, I had to do a lot of adjustment to keep them from wobbling one side to the other. I plan on returning them."
furniture,"Renwick Faux Leather Barrel Accent Chair for Living Room, Set of 2, Black",Erin,2,"These chairs are tiny. The back of the chair ends at my lower back so basically, no back support at all.  They are very hard and the scale is small. They look like kid chairs. I'll be returning or selling these chairs for a loss."
furniture,"Renwick Faux Leather Barrel Accent Chair for Living Room, Set of 2, Black",Donald,1,ordered the set of two chairs. Only one showed up and was missing the seat cushion. Called customer service. They arranged to pick up for refund and put in new order. Received today an only one chair showed ip again. Didn't even open box to see if all the parts eere there.
furniture,"Renwick Faux Leather Barrel Accent Chair for Living Room, Set of 2, Black",Anne,1,"They delivered this item to an address in Alaska meanwhile I live in PA, and I was issued a refund but not sure why that happened, beware guys that was a scam done using this product."
clothing,CANADA WEATHER GEAR Men's Flannel Shirt - Casual Button Down Long Sleeve Sweatshirts for Men (M-XXL),DadtoNandN,5,"Bought this for my husband to wear for Thanksgiving. Arrived very quick and it's soft, thick but not too heavy."
clothing,CANADA WEATHER GEAR Men's Flannel Shirt - Casual Button Down Long Sleeve Sweatshirts for Men (M-XXL),John,4,"I'm going to buy another one only one size larger than I wear. I think if the one I just bought is true to all of  their shirts, maybe they should move all sizes down one. My XL fit just like a large, so I'm buying an XXL this time."
clothing,CANADA WEATHER GEAR Men's Flannel Shirt - Casual Button Down Long Sleeve Sweatshirts for Men (M-XXL),Joyce,4,Good quality for the price
clothing,CANADA WEATHER GEAR Men's Flannel Shirt - Casual Button Down Long Sleeve Sweatshirts for Men (M-XXL),Melissa,4,Ordered XL and it's more like medium
clothing,CANADA WEATHER GEAR Men's Flannel Shirt - Casual Button Down Long Sleeve Sweatshirts for Men (M-XXL),harmony,3,Ordered a normal fitting size in xl and it  was very small. Ordered the xxl and it was the same exact size as the xl.
clothing,CANADA WEATHER GEAR Men's Flannel Shirt - Casual Button Down Long Sleeve Sweatshirts for Men (M-XXL),Teresa,2,Bought a medium but should have bought an XL. Very thin %26 the color looks more brownish than black. Definitely not worth the price %26 wouldn't recommend. Also late on delivery.
clothing,CANADA WEATHER GEAR Men's Flannel Shirt - Casual Button Down Long Sleeve Sweatshirts for Men (M-XXL),Cheryl,2,"I thought it would be thicker 
And is way to small"
clothing,CANADA WEATHER GEAR Men's Flannel Shirt - Casual Button Down Long Sleeve Sweatshirts for Men (M-XXL),Michelle,2,not a large. Now I have to take it back. What a waste of my time.
clothing,CANADA WEATHER GEAR Men's Flannel Shirt - Casual Button Down Long Sleeve Sweatshirts for Men (M-XXL),Manuel,1,The length is too short.
kitchen,"Beautiful 3 Qt Air Fryer with TurboCrisp Technology, Rose by Drew Barrymore",Beverly,5,I love color. It is so beautiful and it works so great cook the food just perfectly and I am just absolutely in love with it. Buy it. You won't regret it. I love color. It is so beautiful and it works so great cook the food just perfectly and I am just absolutely in love with it. Buy it. You won't regret it.
kitchen,"Beautiful 3 Qt Air Fryer with TurboCrisp Technology, Rose by Drew Barrymore",Martha,5,Pretty and works beautiful.
kitchen,"Beautiful 3 Qt Air Fryer with TurboCrisp Technology, Rose by Drew Barrymore",Maureen,5,Works great works great
kitchen,"Beautiful 3 Qt Air Fryer with TurboCrisp Technology, Rose by Drew Barrymore",Tammy,5,I was so surprised
kitchen,"Beautiful 3 Qt Air Fryer with TurboCrisp Technology, Rose by Drew Barrymore",WalmartCustomer,1,Havent used product yet
